region,type,asin,title,author,narrator,genre,categories,tags,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
us,cash,006303543X,Sex With Presidents,Eleanor Herman,Emily Rankin,History,History; Americas; United States; Modern; 20th Century; Politics & Social Sciences; Politics & Government,,12.6,4.4,127,6.99,29.69,https://m.media-amazon.com/images/I/51KlxtUoKqL._SL500_.jpg,https://www.audible.com/pd/006303543X
us,cash,0062992988,Silk Is For Seduction,Loretta Chase,Kate Reading,Literature & Fiction,Literature & Fiction; Historical Fiction; Romance; Historical; Regency,,11.4,4.6,203,6.99,26.09,https://m.media-amazon.com/images/I/511Y+F-r+GL._SL500_.jpg,https://www.audible.com/pd/0062992988
us,cash,B0B25RFRY8,Paris Daillencourt Is About to Crumble,Alexis Hall,Ewan Goddard,LGBTQ+,LGBTQ+; Romance; Contemporary; Multicultural; Romantic Comedy; Comedy & Humor; Literature & Fiction,,13.1,4.2,172,6.99,28.79,https://m.media-amazon.com/images/I/51fMXJLPgoL._SL500_.jpg,https://www.audible.com/pd/B0B25RFRY8
us,cash,B0G59TG946,A Stage Set for Villains,Shannon J. Spann,Suzy Jackson,Teen & Young Adult,Teen & Young Adult; Literature & Fiction; Difficult Situations; Loners & Outcasts; Science Fiction & Fantasy; Fantasy; Dark Fantasy,,16.6,4.6,176,6.99,26.03,https://m.media-amazon.com/images/I/41GU24W2S5L._SL500_.jpg,https://www.audible.com/pd/B0G59TG946
us,cash,B09F5PY2HG,The Library,"Andrew Pettegree,Arthur der Weduwen",Sean Barrett,Education & Learning,"Education & Learning; Words, Language & Grammar; History; Europe; World; Civilization; Home & Garden; Politics & Social Sciences; Social Sciences; Library & Museum Studies",,15.4,4.4,94,5.99,28.79,https://m.media-amazon.com/images/I/51Yo4I0ARmL._SL500_.jpg,https://www.audible.com/pd/B09F5PY2HG
us,cash,B0FQ63LN7C,Breakneck Hockey,S. Legend,"Sebastian York,Oliver Highpoint",LGBTQ+,LGBTQ+; Romance; Contemporary; Sports,Literature & Fiction,11.9,4.7,173,5.99,21.62,https://m.media-amazon.com/images/I/51jkn7LZFvL._SL500_.jpg,https://www.audible.com/pd/B0FQ63LN7C
us,cash,B07KW1VSRG,The Lieutenant's Nurse,Sara Ackerman,Lauren Ezzo,Literature & Fiction,Literature & Fiction; Genre Fiction; Friendship; Historical Fiction; 20th Century; World War II & Holocaust; Romance; Historical,,9.7,4.4,244,6.99,26.09,https://m.media-amazon.com/images/I/51sVdsk81CL._SL500_.jpg,https://www.audible.com/pd/B07KW1VSRG
us,cash,0062939440,The Playground,Jane Shemilt,Elizabeth Knowelden,Literature & Fiction,"Literature & Fiction; Genre Fiction; Family Life; Mystery, Thriller & Suspense; Thriller & Suspense; Domestic Thrillers; Psychological; Suspense",,9.7,4.0,157,7.99,26.09,https://m.media-amazon.com/images/I/514xeAhaZnL._SL500_.jpg,https://www.audible.com/pd/0062939440
us,cash,0063065460,Hairpin Bridge,Taylor Adams,"LuLu Lam,Sophie Amoss","Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Thriller & Suspense; Crime Thrillers; Psychological; Suspense",,9.8,3.9,222,6.99,26.09,https://m.media-amazon.com/images/I/511jeKi9xVS._SL500_.jpg,https://www.audible.com/pd/0063065460
us,cash,B0DSJY6F9M,Crow's Fortune,Seth Ring,Ramón de Ocampo,Science Fiction & Fantasy,Science Fiction & Fantasy; Fantasy; Action & Adventure; Epic,,10.9,4.9,422,7.99,21.1,https://m.media-amazon.com/images/I/51llfB9tPlL._SL500_.jpg,https://www.audible.com/pd/B0DSJY6F9M
